uniprot_id,gene,protein_name,stratum,mean_plddt,pocket_id,pocket_volume,best_nucleophile_type,best_nuc_dist,best_nuc_sasa,best_nuc_plddt,nps,nas,scs,lcs,btr_score,category,cancer_expression,cancer_high,expression_norm,priority_score
P21802,FGFR2,Fibroblast growth factor receptor 2,S1_cancer_TM,73.91,2,330.8,CYS,5.18,134.45,31.31,0.8927,1.0,0.0,1.0,0.7625,high,0.0,False,0.0,0.5337
P22794,EVI2A,Protein EVI2A,S1_cancer_TM,56.71,1,1775.2,LYS,2.99,181.14,53.69,1.0,1.0,0.0,0.5,0.725,high,35.9,True,0.0206,0.512
P23510,TNFSF4,Tumor necrosis factor ligand superfamily member 4,S1_cancer_TM,84.78,1,246.4,TYR,7.22,82.51,96.0,0.7073,1.0,1.0,0.63,0.842,high,0.0,False,0.0,0.5894
P29033,GJB2,Gap junction beta-2 protein,S4_multiTM,86.18,1,617.6,LYS,3.01,188.37,67.38,1.0,1.0,0.0,0.5,0.725,high,656.4,True,0.3759,0.5893
P29320,EPHA3,Ephrin type-A receptor 3,S1_cancer_TM,80.77,0,,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,False,0.0,0.0
P30414,NKTR,NK-tumor recognition protein,S2_cancer_nonTM,43.86,2,492.8,SER,1.77,99.08,33.56,1.0,1.0,0.0,0.7,0.755,high,0.0,True,0.0,0.5285
P30988,CALCR,Calcitonin receptor,S4_multiTM,78.69,1,12497.6,TYR,4.2,47.15,90.12,0.9818,1.0,1.0,0.9,0.9786,high,,False,,
P40337,VHL,von Hippel-Lindau disease tumor suppressor,S2_cancer_nonTM,84.41,2,347.6,TYR,6.3,45.9,98.25,0.7909,1.0,1.0,0.63,0.8713,high,0.0,True,0.0,0.6099
P41273,TNFSF9,Tumor necrosis factor ligand superfamily member 9,S1_cancer_TM,76.63,3,371.2,THR,4.27,49.8,85.81,0.9755,1.0,0.5,0.6,0.8314,high,0.0,False,0.0,0.582
P41743,PRKCI,Protein kinase C iota type,S2_cancer_nonTM,80.3,1,12349.1,LYS,5.65,71.46,89.31,0.85,1.0,0.5,0.5,0.7725,high,0.0,False,0.0,0.5407
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,S1_cancer_TM,76.98,3,384.8,TYR,7.1,178.24,91.0,0.7182,1.0,1.0,0.63,0.8459,high,0.0,False,0.0,0.5921
P50391,NPY4R,Neuropeptide Y receptor type 4,S4_multiTM,80.31,2,769.5,TYR,3.98,135.13,93.56,1.0,1.0,1.0,0.9,0.985,high,7.2,False,0.0041,0.6907
P50607,TUB,Tubby protein homolog,S5_peripheral,69.14,2,1873.1,SER,7.19,56.18,95.06,0.71,1.0,1.0,0.49,0.822,high,0.0,False,0.0,0.5754
P54826,GAS1,Growth arrest-specific protein 1,S5_peripheral,69.77,3,371.2,TYR,4.6,53.02,94.44,0.9455,1.0,1.0,0.9,0.9659,high,37.9,True,0.0217,0.6824
P54855,UGT2B15,UDP-glucuronosyltransferase 2B15,S3_singleTM,93.36,2,769.5,TYR,6.8,99.56,93.06,0.7455,1.0,1.0,0.63,0.8554,high,78.3,True,0.0448,0.6103
P55291,CDH15,Cadherin-15,S3_singleTM,78.37,3,2146.5,THR,7.28,70.61,91.62,0.7018,1.0,1.0,0.42,0.8086,high,2.4,False,0.0014,0.5664
P56373,P2RX3,P2X purinoceptor 3,S4_multiTM,88.44,3,880.9,TYR,7.01,120.34,96.62,0.7264,1.0,1.0,0.63,0.8487,high,0.0,False,0.0,0.5941
P56559,ARL4C,ADP-ribosylation factor-like protein 4C,S5_peripheral,93.37,1,928.1,TYR,7.05,29.28,97.75,0.7227,0.964,1.0,0.63,0.8367,high,0.0,False,0.0,0.5857
P57738,TCTA,T-cell leukemia translocation-altered gene protein,S1_cancer_TM,65.75,0,,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,True,0.0,0.0
P60033,CD81,CD81 antigen,S4_multiTM,87.35,2,209.2,TYR,8.75,39.0,81.62,0.5682,1.0,0.5,0.63,0.6934,medium,0.0,False,0.0,0.4854
P61006,RAB8A,Ras-related protein Rab-8A,S2_cancer_nonTM,85.41,2,307.1,CYS,2.39,35.66,95.25,1.0,1.0,1.0,1.0,1.0,high,0.0,False,0.0,0.7
P61764,STXBP1,Syntaxin-binding protein 1,S5_peripheral,90.42,1,7418.2,TYR,3.71,13.31,98.0,1.0,0.1655,1.0,0.9,0.7346,high,105.2,True,0.0603,0.5275
P62070,RRAS2,Ras-related protein R-Ras2,S2_cancer_nonTM,86.7,3,280.1,LYS,5.15,39.08,95.69,0.8955,1.0,1.0,0.5,0.8884,high,0.0,False,0.0,0.6219
P62166,NCS1,Neuronal calcium sensor 1,S5_peripheral,87.8,1,1350.0,TYR,4.94,137.63,53.56,0.9145,1.0,0.0,0.9,0.7551,high,0.0,False,0.0,0.5286
P78324,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,S3_singleTM,77.82,3,2075.6,TYR,5.82,17.99,97.06,0.8345,0.3995,1.0,0.9,0.7469,high,0.0,True,0.0,0.5229
P78383,SLC35B1,Solute carrier family 35 member B1,S4_multiTM,86.42,1,2484.0,TYR,3.0,129.85,78.06,1.0,1.0,0.5,0.9,0.885,high,0.0,False,0.0,0.6195
P81605,DCD,Dermcidin,S3_singleTM,64.67,3,246.4,THR,6.31,76.18,78.38,0.79,1.0,0.5,0.42,0.7395,high,332.5,True,0.1904,0.5599
P98153,DGCR2,Integral membrane protein DGCR2/IDD,S3_singleTM,63.08,1,10624.5,TYR,9.39,29.02,80.81,0.51,0.951,0.5,0.63,0.6583,medium,0.0,False,0.0,0.4608
Q00535,CDK5,Cyclin-dependent kinase 5,S5_peripheral,91.56,1,540.0,TYR,4.7,72.87,67.44,0.9364,1.0,0.0,0.9,0.7627,high,0.0,True,0.0,0.5339
Q02846,GUCY2D,Retinal guanylyl cyclase 1,S3_singleTM,82.01,1,11026.1,SER,5.83,60.26,93.12,0.8336,1.0,1.0,0.7,0.8968,high,0.0,False,0.0,0.6277
Q02978,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,S1_cancer_TM,86.75,1,2669.6,TYR,9.31,73.48,89.31,0.5173,1.0,0.5,0.63,0.6755,medium,0.0,True,0.0,0.4729
Q04759,PRKCQ,Protein kinase C theta type,S5_peripheral,79.73,1,509.6,SER,4.2,75.16,97.06,0.9818,1.0,1.0,0.7,0.9486,high,0.0,False,0.0,0.664
Q04912,MST1R,Macrophage-stimulating protein receptor,S1_cancer_TM,80.14,1,610.9,SER,5.56,88.23,30.34,0.8582,1.0,0.0,0.7,0.7054,high,0.0,True,0.0,0.4938
Q05655,PRKCD,Protein kinase C delta type,S2_cancer_nonTM,80.71,1,324.0,TYR,4.99,208.87,75.38,0.91,1.0,0.5,0.9,0.8535,high,0.0,True,0.0,0.5974
Q08174,PCDH1,Protocadherin-1,S3_singleTM,76.21,3,1603.1,THR,4.71,31.36,78.94,0.9355,1.0,0.5,0.6,0.8174,high,0.0,False,0.0,0.5722
Q12772,SREBF2,Sterol regulatory element-binding protein 2,S4_multiTM,61.88,3,1991.2,SER,4.34,15.96,85.56,0.9691,0.298,0.5,0.7,0.6336,medium,0.0,False,0.0,0.4435
Q12797,ASPH,Aspartyl/asparaginyl beta-hydroxylase,S3_singleTM,71.84,2,1377.0,LYS,7.35,200.88,31.8,0.6955,1.0,0.0,0.35,0.5959,medium,0.0,True,0.0,0.4171
Q13255,GRM1,Metabotropic glutamate receptor 1,S4_multiTM,70.94,1,5548.5,TYR,9.61,57.03,90.06,0.49,1.0,1.0,0.63,0.766,high,3.0,False,0.0017,0.5366
Q13410,BTN1A1,Butyrophilin subfamily 1 member A1,S3_singleTM,84.24,3,266.6,TYR,8.39,39.27,97.81,0.6009,1.0,1.0,0.63,0.8048,high,0.0,False,0.0,0.5634
Q13477,MADCAM1,Mucosal addressin cell adhesion molecule 1,S3_singleTM,74.63,1,540.0,SER,3.18,54.17,91.62,1.0,1.0,1.0,0.7,0.955,high,4.9,False,0.0028,0.6693
Q13492,PICALM,Phosphatidylinositol-binding clathrin assembly protein,S2_cancer_nonTM,66.21,3,418.5,SER,6.47,77.42,96.06,0.7755,1.0,1.0,0.49,0.8449,high,0.0,True,0.0,0.5914
Q14126,DSG2,Desmoglein-2,S3_singleTM,64.51,3,1431.0,SER,9.15,105.99,31.02,0.5318,1.0,0.0,0.49,0.5596,medium,0.0,True,0.0,0.3917
Q14162,SCARF1,Scavenger receptor class F member 1,S3_singleTM,65.16,3,3648.4,LYS,5.08,196.39,29.23,0.9018,1.0,0.0,0.5,0.6906,medium,0.0,False,0.0,0.4834
Q14435,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,S1_cancer_TM,89.82,1,5902.9,TYR,4.39,24.2,97.62,0.9645,0.71,1.0,0.9,0.8856,high,0.0,True,0.0,0.6199
Q14626,IL11RA,Interleukin-11 receptor subunit alpha,S3_singleTM,81.54,1,1144.1,TYR,4.8,53.21,97.5,0.9273,1.0,1.0,0.9,0.9595,high,0.0,False,0.0,0.6717
Q14656,TMEM187,Transmembrane protein 187,S4_multiTM,92.05,2,347.6,LYS,4.94,76.95,93.94,0.9145,1.0,1.0,0.5,0.8951,high,0.0,False,0.0,0.6266
Q15388,TOMM20,Mitochondrial import receptor subunit TOM20 homolog,S3_singleTM,76.43,1,1194.8,SER,6.98,93.04,55.0,0.7291,1.0,0.0,0.49,0.6287,medium,0.0,True,0.0,0.4401
Q15619,OR1C1,Olfactory receptor 1C1,S4_multiTM,87.67,2,303.8,TYR,7.09,37.14,95.44,0.7191,1.0,1.0,0.63,0.8462,high,0.0,False,0.0,0.5923
Q15743,GPR68,G protein-coupled receptor 68,S1_cancer_TM,80.41,1,2166.8,CYS,5.05,78.05,74.94,0.9045,1.0,0.5,1.0,0.8666,high,0.0,False,0.0,0.6066
Q16394,EXT1,Exostosin-1,S1_cancer_TM,84.79,2,4073.6,TYR,4.87,45.54,93.5,0.9209,1.0,1.0,0.9,0.9573,high,0.0,False,0.0,0.6701
Q16512,PKN1,Serine/threonine-protein kinase N1,S5_peripheral,72.02,3,253.1,SER,2.55,106.29,23.62,1.0,1.0,0.0,0.7,0.755,high,0.0,True,0.0,0.5285
Q2M3G0,ABCB5,ATP-binding cassette sub-family B member 5,S4_multiTM,84.95,3,229.5,SER,3.31,93.72,88.81,1.0,1.0,0.5,0.7,0.855,high,29.6,True,0.017,0.6028
Q2NKQ1,SGSM1,Small G protein signaling modulator 1,S5_peripheral,65.85,2,2220.8,LYS,7.22,188.87,39.06,0.7073,1.0,0.0,0.35,0.6,medium,6.2,True,0.0036,0.4207
Q3KNS1,PTCHD3,Patched domain-containing protein 3,S4_multiTM,81.55,1,13270.5,TYR,3.99,63.37,88.25,1.0,1.0,0.5,0.9,0.885,high,,False,,
Q53GL0,PLEKHO1,Pleckstrin homology domain-containing family O member 1,S2_cancer_nonTM,68.69,3,1896.8,SER,4.95,104.05,45.62,0.9136,1.0,0.0,0.7,0.7248,high,0.0,False,0.0,0.5073
Q58HT5,AWAT1,Acyl-CoA wax alcohol acyltransferase 1,S4_multiTM,93.04,2,246.4,TYR,4.38,62.56,92.5,0.9655,1.0,1.0,0.9,0.9729,high,0.0,False,0.0,0.681
Q5H943,CT83,Kita-kyushu lung cancer antigen 1,S1_cancer_TM,70.85,1,955.1,LYS,9.55,134.0,82.0,0.4955,1.0,0.5,0.35,0.6259,medium,15.9,True,0.0091,0.4398
Q5NUL3,FFAR4,Free fatty acid receptor 4,S4_multiTM,79.3,2,367.9,THR,7.78,77.48,90.19,0.6564,1.0,1.0,0.42,0.7927,high,7.3,False,0.0042,0.5559
Q5SQI0,ATAT1,Alpha-tubulin N-acetyltransferase 1,S5_peripheral,68.44,2,934.9,TYR,4.85,65.17,98.81,0.9227,1.0,1.0,0.9,0.958,high,7.1,False,0.0041,0.6717
Q63HM2,PCNX4,Pecanex-like protein 4,S4_multiTM,78.17,2,2214.0,SER,7.54,18.91,91.56,0.6782,0.4455,1.0,0.49,0.6445,medium,0.0,True,0.0,0.4512
Q68CQ7,GLT8D1,Glycosyltransferase 8 domain-containing protein 1,S3_singleTM,84.76,2,1809.0,LYS,5.31,26.34,95.31,0.8809,0.817,1.0,0.5,0.8284,high,0.0,False,0.0,0.5799
Q6E213,AWAT2,Acyl-CoA wax alcohol acyltransferase 2,S4_multiTM,94.31,1,1474.9,TYR,8.28,17.07,81.12,0.6109,0.3535,0.5,0.63,0.5144,medium,0.0,False,0.0,0.3601
Q6P9G4,TMEM154,Transmembrane protein 154,S3_singleTM,62.51,2,381.4,SER,2.75,43.83,80.75,1.0,1.0,0.5,0.7,0.855,high,20.4,True,0.0117,0.6015
Q6PCB0,VWA1,von Willebrand factor A domain-containing protein 1,S5_peripheral,78.37,1,4029.8,SER,2.44,17.84,83.62,1.0,0.392,0.5,0.7,0.6726,medium,0.0,False,0.0,0.4708
Q6PIL6,KCNIP4,Kv channel-interacting protein 4,S5_peripheral,69.84,1,1984.5,TYR,1.14,117.26,33.12,1.0,1.0,0.0,0.9,0.785,high,9.2,False,0.0053,0.5507
Q6QAJ8,TMEM220,Transmembrane protein 220,S4_multiTM,91.65,1,378.0,TYR,5.33,14.76,98.56,0.8791,0.238,1.0,0.9,0.7141,high,0.0,False,0.0,0.4999
Q6UXK5,LRRN1,Leucine-rich repeat neuronal protein 1,S3_singleTM,81.96,2,4846.5,THR,7.5,47.66,94.12,0.6818,1.0,1.0,0.42,0.8016,high,23.6,True,0.0135,0.5644
Q6ZMD2,SPNS3,Protein spinster homolog 3,S4_multiTM,84.46,1,4924.1,THR,4.49,31.44,86.31,0.9555,1.0,0.5,0.6,0.8244,high,1.7,False,0.001,0.5773
Q6ZRH7,CATSPERG,Cation channel sperm-associated auxiliary subunit gamma,S3_singleTM,83.85,2,907.9,TYR,8.45,96.58,93.81,0.5955,1.0,1.0,0.63,0.8029,high,0.0,False,0.0,0.562
Q6ZVD7,STOX1,Storkhead-box protein 1,S5_peripheral,48.65,3,1377.0,TYR,9.65,203.73,33.03,0.4864,1.0,0.0,0.63,0.5647,medium,0.0,False,0.0,0.3953
Q6ZWE6,PLEKHM3,Pleckstrin homology domain-containing family M member 3,S5_peripheral,64.93,2,762.8,THR,8.3,121.03,30.02,0.6091,1.0,0.0,0.42,0.5762,medium,0.0,False,0.0,0.4033
Q6ZXV5,TMTC3,Protein O-mannosyl-transferase TMTC3,S4_multiTM,87.64,2,1289.2,TYR,7.83,35.06,97.38,0.6518,1.0,1.0,0.63,0.8226,high,0.0,False,0.0,0.5758
Q70SY1,CREB3L2,Cyclic AMP-responsive element-binding protein 3-like protein 2,S1_cancer_TM,55.52,3,384.8,CYS,6.51,99.95,43.97,0.7718,1.0,0.0,0.7,0.6751,medium,0.0,True,0.0,0.4726
Q7LC44,ARC,Activity-regulated cytoskeleton-associated protein,S5_peripheral,65.07,2,246.4,LYS,3.54,72.83,83.12,1.0,1.0,0.5,0.5,0.825,high,59.7,True,0.0342,0.586
Q86UF2,CTAGE6,cTAGE family member 6,S3_singleTM,68.69,1,12477.4,TYR,3.77,125.67,96.75,1.0,1.0,1.0,0.9,0.985,high,0.0,True,0.0,0.6895
Q8IUH5,ZDHHC17,Palmitoyltransferase ZDHHC17,S1_cancer_TM,87.43,2,432.0,THR,3.8,37.3,95.0,1.0,1.0,1.0,0.6,0.94,high,0.0,True,0.0,0.658
Q8IUN9,CLEC10A,C-type lectin domain family 10 member A,S3_singleTM,80.41,2,685.1,CYS,0.71,19.54,89.12,1.0,0.477,0.5,1.0,0.7431,high,0.0,False,0.0,0.5202
Q8IUW5,RELL1,RELT-like protein 1,S3_singleTM,60.29,1,6523.9,SER,2.62,73.28,70.31,1.0,1.0,0.5,0.7,0.855,high,0.0,True,0.0,0.5985
