pdb_id,resolution,ligand_id,ligand_heavy_atoms,ligand_chain,family,n_chains,structure_format,has_TYR_5A,has_TYR_8A,has_TYR_10A,has_TYR_12A,has_TYR_15A,has_CYS_5A,has_CYS_8A,has_CYS_10A,has_CYS_12A,has_CYS_15A,has_SER_5A,has_SER_8A,has_SER_10A,has_SER_12A,has_SER_15A,has_THR_5A,has_THR_8A,has_THR_10A,has_THR_12A,has_THR_15A,has_LYS_5A,has_LYS_8A,has_LYS_10A,has_LYS_12A,has_LYS_15A,has_ANY_5A,has_ANY_8A,has_ANY_10A,has_ANY_12A,has_ANY_15A,count_TYR_5A,count_TYR_8A,count_TYR_10A,count_TYR_12A,count_TYR_15A,count_CYS_5A,count_CYS_8A,count_CYS_10A,count_CYS_12A,count_CYS_15A,count_SER_5A,count_SER_8A,count_SER_10A,count_SER_12A,count_SER_15A,count_THR_5A,count_THR_8A,count_THR_10A,count_THR_12A,count_THR_15A,count_LYS_5A,count_LYS_8A,count_LYS_10A,count_LYS_12A,count_LYS_15A,min_TYR_dist,min_CYS_dist,min_SER_dist,min_THR_dist,min_LYS_dist,tyr_pocket_sasa,n_tyr_pocket_10A,sasa_computed
7IMP,1.52,A1H9V,11,A,Other,1,cif,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,0,0,1,1,2,0,0,0,0,0,0,1,1,1,2,1,3,5,5,5,0,0,0,0,0,8.089529037475586,,7.08930778503418,4.7390851974487305,15.73088550567627,120.0561234367443,1,True
9XS6,2.46,A1MCO,16,A,Oxidoreductase,1,cif,False,True,True,True,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,0,2,4,5,12,0,0,0,1,2,0,0,0,3,6,1,1,2,4,6,0,1,1,2,4,7.11152458190918,10.442201614379885,10.021587371826172,4.533867359161377,7.885038375854492,143.86851074969428,4,True
9RWX,1.6,BGC,12,A,Hydrolase(other),1,pdb,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,1,1,3,6,13,0,0,0,0,0,0,2,2,5,6,0,0,3,6,10,0,0,1,1,3,3.9269843101501465,16.802642822265625,7.373433113098144,8.261791229248047,9.843728065490724,30.633170678207065,3,True
13UI,1.62,2D0,11,A,Other,2,pdb,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,1,3,5,0,0,2,2,5,15.737256050109863,,9.577198028564451,6.0751261711120605,9.26742172241211,,0,False
9HVZ,2.15,ACO,51,A,Transferase(other),4,cif,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,0,1,2,3,4,0,0,0,0,0,0,1,2,3,4,0,2,5,5,6,0,0,1,3,4,6.321226119995117,19.854568481445312,7.36020565032959,7.553828716278076,9.83778476715088,96.79856436662858,2,True
9S2Q,1.371,A1JLG,11,A,Other,2,cif,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,0,1,1,1,3,0,0,2,2,4,0,1,1,1,2,0,0,1,2,2,0,0,1,1,1,7.762104511260986,8.196971893310547,7.774823188781738,8.28233528137207,9.001161575317383,40.882998246820335,1,True
9RUM,2.79,FAD,53,A,Oxidoreductase,1,pdb,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,0,0,2,3,5,0,0,0,0,0,0,2,2,7,9,0,3,4,8,9,0,0,0,2,5,8.245378494262695,21.680784225463867,5.966421127319336,5.840540409088135,10.188080787658691,95.85073342128028,2,True
9NTP,1.55,A1B6E,33,A,Kinase,1,cif,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,0,1,1,2,2,0,1,2,2,2,0,0,1,1,1,0,1,2,2,3,0,1,4,5,7,6.579140186309815,6.381706237792969,8.245732307434082,6.32900333404541,7.468312740325928,40.75693636911248,1,True
9SN7,1.4,QUE,22,A,Transferase(other),1,pdb,False,False,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,True,True,True,0,0,1,2,3,0,0,1,1,1,0,0,1,1,2,0,0,0,0,1,0,0,1,1,1,8.241345405578613,9.21651554107666,8.227965354919434,14.826631546020508,9.575628280639648,12.669343826643612,1,True
14WH,1.84,K0G,16,A,Other,2,pdb,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,2,5,0,0,0,0,0,32.84939193725586,20.050857543945312,7.443528175354004,8.280821800231934,16.40086555480957,,0,False
12EM,2.07,UDP,25,A,Transferase(other),2,pdb,False,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,0,0,1,1,4,0,1,2,2,5,0,0,0,1,3,0,2,4,5,7,0,4,5,5,5,9.13210391998291,5.821497440338135,10.332552909851074,6.526020050048828,6.15015172958374,2.54062096483548,1,True
9OPK,2.05,A1CDD,27,A,Transferase(other),4,cif,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,0,3,3,3,5,0,0,0,0,1,0,2,3,3,5,0,0,0,2,5,0,1,4,6,6,6.382842063903809,13.223721504211426,5.678621768951416,10.492095947265623,7.705540180206299,57.79938231753207,3,True
9FRY,1.35,A1IFU,25,A,Hydrolase(other),1,cif,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,True,True,True,0,0,2,5,6,0,0,0,0,0,0,0,2,5,9,0,0,0,0,1,0,0,1,2,3,8.198786735534668,26.946533203125,9.484245300292969,12.34253215789795,8.79275131225586,162.50871649563888,2,True
9RSF,1.83,AGH,60,A,Antibody/Immune,4,pdb,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,1,1,1,1,1,0,0,0,1,3,0,2,2,5,8,0,2,4,4,7,0,0,1,1,2,1.4735603332519531,10.77407169342041,6.245743274688721,5.488279819488525,8.66264533996582,62.45362414066682,1,True
9WD2,2.5,ANP,31,A,Kinase,4,pdb,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,0,0,0,1,1,0,0,0,0,0,0,1,1,2,4,1,1,1,1,2,0,1,2,4,8,11.894261360168455,21.759672164916992,5.819634437561035,3.343269109725952,5.048713207244873,,0,False
35WF,1.68,A1DNH,27,A,Other,1,cif,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,0,1,1,3,4,0,1,1,1,1,0,2,2,2,2,0,0,1,1,1,0,0,2,4,4,5.896215438842773,5.822657108306885,5.443417072296143,8.222864151000977,8.565496444702148,53.767993782522616,1,True
9RUN,2.26,FAD,53,A,Oxidoreductase,2,pdb,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,0,0,2,2,5,0,0,0,0,0,0,2,2,7,8,0,3,4,8,10,0,0,0,2,5,8.198240280151367,21.182722091674805,5.676466941833496,5.883049488067627,10.166790962219238,80.54219380860827,2,True
7IMN,1.66,JG4,10,A,Other,1,pdb,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,1,2,5,6,0,0,1,3,3,9.84428596496582,,8.149800300598145,6.378263473510742,9.694974899291992,124.17005500254746,1,True
9Y9O,1.44,NLE,8,B,Other,6,pdb,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,1,1,5,7,7,0,0,0,0,4,0,0,0,0,0,47.436065673828125,,3.5256736278533936,13.100643157958984,18.071456909179688,,0,False
7IMW,1.69,TVP,14,A,Other,1,pdb,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,0,0,1,1,1,0,0,0,0,0,0,1,1,1,2,1,3,4,5,5,0,0,0,0,0,8.502495765686035,,6.259080410003662,4.485277652740479,16.25564956665039,123.33806747659746,1,True
14VF,2.127,A1DOJ,12,B,Other,2,cif,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,1,4,1,1,2,2,2,29.73137664794922,22.933216094970703,4.656126976013184,9.19092845916748,3.7500874996185294,,0,False
9TMX,1.7,FB8,26,A,Transferase(other),1,pdb,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,2,2,3,6,0,1,2,3,5,14.449624061584473,,9.008338928222656,5.932874202728272,7.9834489822387695,,0,False
9X9Z,2.55,FUC,10,B,Antibody/Immune,3,pdb,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,1,1,1,1,1,0,0,0,0,0,0,1,1,2,3,0,0,1,2,3,0,0,0,0,1,4.444614410400391,23.621721267700195,7.524343013763428,8.758889198303223,13.070061683654783,155.09589551764813,1,True
7ILV,1.54,GUG,16,A,Other,1,pdb,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,0,1,1,1,1,0,0,0,0,0,0,0,1,1,2,1,4,5,5,5,0,0,0,0,0,6.208460330963135,,8.923846244812012,3.7031986713409424,16.67460823059082,121.38219000918602,1,True
28IP,1.588,NAD,44,A,Oxidoreductase,4,cif,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,0,0,1,2,3,0,0,0,0,0,1,4,6,7,10,0,1,2,3,5,0,1,1,2,2,8.871830940246582,16.241561889648438,3.4504220485687256,6.888608932495117,6.750289440155029,31.8905088067368,1,True
14XM,2.02,NY4,15,B,Other,2,pdb,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,3,4,16.574804306030273,22.03507232666016,12.586750984191896,12.668023109436035,7.505803108215332,,0,False
9I3B,1.6,A1IZG,24,A,Oxidoreductase,1,cif,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,0,1,2,5,12,0,0,1,2,2,0,3,4,6,10,0,2,2,2,4,0,0,0,1,4,7.758942604064941,8.453301429748535,7.4345784187316895,5.687972545623779,11.0845947265625,49.07050567683659,2,True
30IX,2.9,A1IBA,21,B,Transferase(other),4,cif,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,False,True,True,True,False,True,True,True,True,0,0,1,2,5,0,1,2,2,2,0,1,1,1,1,0,0,0,1,2,0,0,2,4,5,8.394255638122559,7.8353800773620605,7.401153087615967,10.795654296875,8.781336784362793,6.196713623384639,1,True
14XE,1.914,A1DOZ,14,B,Other,2,cif,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,1,1,1,3,0,0,0,0,1,17.586809158325195,23.122581481933597,5.325502395629883,7.423186779022217,12.237300872802734,,0,False
7ILX,1.54,WH4,10,A,Other,1,pdb,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,4,8.34477424621582,,20.10352325439453,14.042020797729492,6.979025363922119,11.045955013236108,1,True
9RTH,2.52,MLI,7,AAA,Other,1,cif,True,True,True,True,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,2,4,4,6,8,0,0,0,2,5,0,0,0,1,4,2,2,4,5,7,0,1,1,1,2,3.1895973682403564,10.550979614257812,10.4124755859375,3.988202571868897,6.95154333114624,,4,False
9LZN,2.02,ZQB,32,A,Protease,2,pdb,False,False,False,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,False,False,True,False,True,True,True,True,0,0,0,3,5,0,1,1,2,6,0,0,1,3,4,0,0,1,5,8,0,0,0,0,1,10.376978874206545,6.0274200439453125,8.00901985168457,8.059956550598145,14.002071380615234,,0,False
9PH8,2.79,SAM,27,A,Transferase(other),2,pdb,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,0,1,3,3,5,1,1,3,3,7,0,0,0,1,5,0,0,0,1,4,0,0,1,3,7,6.203131675720215,4.235138416290283,11.695897102355955,10.264678955078123,8.564579010009766,12.167984085520043,3,True
9PL4,1.8,HIS,11,A,Other,2,pdb,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,True,True,False,True,True,True,True,0,2,2,4,7,0,0,0,0,0,0,0,1,5,5,0,0,1,1,5,0,0,0,1,3,5.817931175231934,,8.469326972961426,9.416956901550291,10.27308750152588,74.45105858099812,2,True
9SQG,1.85,EPZ,44,C,Transferase(other),3,pdb,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,0,1,1,1,2,0,0,0,0,0,0,1,1,1,2,1,1,2,3,4,0,1,2,2,2,6.714822292327881,16.559051513671875,7.764569759368896,4.0574212074279785,6.989341735839844,29.838489244864643,1,True
9T55,1.75,A1JTS,41,A,Other,1,cif,False,False,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,0,0,1,3,5,0,1,2,2,6,0,0,2,3,4,0,0,4,4,8,0,0,0,0,0,9.026336669921877,5.035262584686279,8.071019172668457,9.008599281311035,15.511015892028809,3.6845163590846592,1,True
9TXT,2.8,OY6,40,A,Transferase(other),4,pdb,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,0,2,5,6,9,0,0,0,1,1,1,1,2,2,5,0,0,0,0,0,0,0,0,1,2,5.264396190643311,10.171181678771973,3.399749755859375,15.041951179504396,10.718951225280762,279.824221404209,5,True
9T8G,1.61,GDP,28,A,Other,1,pdb,False,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,1,0,0,1,2,2,0,0,1,3,4,1,2,4,5,6,1,2,3,3,5,12.371101379394531,9.807692527770996,8.521971702575684,3.5985443592071533,3.82280158996582,,0,False
14VK,2.108,A1DOE,18,A,Other,2,cif,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,2,3,0,1,2,2,2,31.527063369750977,24.28204345703125,6.11659574508667,9.622713088989258,5.421627044677734,,0,False
9YUV,2.04,AKG,10,A,Oxidoreductase,1,pdb,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,0,1,2,3,3,0,0,0,1,2,0,1,3,7,9,0,1,3,3,6,0,0,0,0,2,7.2176408767700195,10.7993745803833,6.401447772979736,5.461148262023926,14.051800727844238,18.202082255461065,2,True
9T5E,1.689,A1JTR,39,A,Other,2,cif,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True,True,0,0,1,3,4,1,1,1,3,7,0,1,2,5,6,0,0,2,4,8,0,0,0,0,0,9.55312442779541,4.941929817199707,7.044159412384033,8.421148300170898,15.597366333007812,27.22498678720653,1,True
9VYO,2.73,GTP,32,A,Other,6,cif,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,0,1,2,2,6,0,0,0,0,1,1,2,4,5,7,0,1,2,6,9,0,0,1,2,2,5.194250106811523,14.096070289611816,3.875463724136353,5.433656215667725,8.905677795410156,46.69741441668304,2,True
9XAR,2.77,FUC,10,G,Antibody/Immune,6,cif,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,0,0,0,0,2,0,0,0,0,1,0,0,2,3,4,0,3,3,4,5,0,0,0,1,1,13.191787719726562,13.863638877868652,9.025341033935549,5.356518268585205,10.763440132141112,,0,False
14VQ,2.18,SFY,17,A,Other,2,pdb,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,0,1,1,1,3,0,0,0,1,1,27.830968856811523,22.59039688110352,5.21764087677002,7.760168552398682,11.708532333374023,,0,False
14ZY,2.8,WLS,14,A,Other,2,pdb,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,0,1,1,1,3,0,0,0,0,1,27.228679656982425,21.924226760864254,6.088734149932861,7.733043670654297,12.44597053527832,,0,False
9RTS,2.3,ADP,27,A,Other,4,pdb,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,0,0,0,0,3,1,1,1,2,2,1,2,2,4,7,0,0,0,0,0,0,1,4,4,7,13.29067325592041,4.686927795410156,4.955148220062256,16.45148468017578,6.048681259155273,,0,False
14ZG,2.34,T6J,14,B,Other,2,pdb,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,0,1,1,1,3,0,0,0,0,1,17.185497283935547,23.140554428100582,5.688797473907471,7.82951021194458,12.287955284118652,,0,False
14VM,1.82,A1DOP,16,B,Other,2,cif,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,0,0,1,1,2,0,0,0,0,2,16.68834114074707,23.97725296020508,5.680627822875977,8.168492317199707,13.07314109802246,,0,False
9TBU,1.23,GDP,28,G,Other,1,pdb,False,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,1,0,0,1,1,2,0,0,1,1,2,1,2,4,5,8,1,2,3,3,4,12.269135475158691,9.879395484924316,8.429581642150879,3.638140201568604,3.961944103240967,,0,False
9TCK,1.8,GDP,28,A,Other,1,pdb,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,1,2,2,0,0,1,2,3,1,2,4,5,6,1,2,3,3,4,16.378942489624023,9.816411018371582,8.47468376159668,3.538537979125977,3.806540012359619,,0,False
9TMR,1.9,STU,35,A,Transferase(other),1,pdb,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,1,2,3,5,0,0,3,3,4,13.73859691619873,,10.822114944458008,4.50111198425293,8.09865665435791,,0,False
14VG,2.161,A1DOK,17,A,Other,2,cif,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,0,1,1,1,3,0,0,0,1,1,27.60623550415039,22.29853630065918,5.6726908683776855,7.587479591369629,11.869003295898438,,0,False
9RUZ,1.65,A1JJR,29,A,Other,1,cif,False,False,True,True,True,False,False,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,0,0,1,1,3,0,0,1,1,1,0,0,0,1,3,0,1,2,2,3,0,0,0,0,3,9.264291763305664,9.808700561523438,10.18899917602539,5.186312198638916,13.224469184875488,5.976489747871575,1,True
10FV,1.8,CME,10,A,Transferase(other),1,pdb,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,0,1,1,2,3,0,0,0,0,0,0,0,1,2,3,0,2,4,4,5,0,0,0,1,2,7.583581447601318,27.934011459350582,8.349656105041504,6.68002462387085,10.205259323120115,3.266138444222287,1,True
14VC,2.439,A1DOG,20,B,Other,2,cif,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,2,2,5,6,0,0,1,1,3,0,0,0,0,2,16.629270553588867,23.55741310119629,6.276764392852783,8.412283897399902,13.63999366760254,,0,False
9RWC,1.8,SIA,21,A,Other,2,pdb,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,True,True,0,0,2,4,6,0,0,0,0,0,0,0,0,1,6,0,0,0,3,8,0,0,1,1,2,9.019359588623049,,11.011099815368652,10.78179168701172,8.495543479919434,19.977138856732445,2,True
32QR,2.1,BMV,34,A,Transferase(other),1,pdb,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,True,True,True,True,0,1,1,3,4,0,0,0,0,1,0,1,2,4,5,0,0,2,3,3,0,0,1,1,5,7.205099105834961,13.888118743896484,7.997812747955322,8.061762809753418,9.321422576904297,31.7713025444374,1,True
27RD,2.0,TG1,46,A,Hydrolase(other),1,cif,False,True,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,0,1,1,2,4,0,0,0,0,2,0,0,3,4,5,0,0,0,0,0,0,0,2,2,4,7.882918357849121,13.683037757873535,8.161471366882324,17.25918960571289,9.768027305603027,17.91094484997537,1,True
