uniprot_id,entry_id,gene,protein_name,length,subcellular_location,ensembl_ids,n_binding_sites,binding_sites,keywords,disease,n_transmem
Q96SQ9,CP2S1_HUMAN,CYP2S1,Cytochrome P450 2S1,504,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000310054.9,1,440:heme,Alternative splicing;Endoplasmic reticulum;Fatty acid metabolism;Heme;Iron;Isomerase;Lipid metabolism;Lyase;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome,,0
Q9HB55,CP343_HUMAN,CYP3A43,Cytochrome P450 3A43,503,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000222382.5;ENST00000312017.9;ENST00000354829.7;ENST00000417625.5;ENST00000434806.5,1,442:heme,Alternative splicing;Endoplasmic reticulum;Heme;Iron;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome,,0
Q8TCQ1,MARH1_HUMAN,MARCHF1,E3 ubiquitin-protein ligase MARCHF1,289,"Golgi apparatus, trans-Golgi network membrane; Lysosome membrane; Cytoplasmic vesicle membrane; Late endosome membrane; Early endosome membrane; Cell membrane;",ENST00000274056.11;ENST00000339875.9;ENST00000503008.5,8,80:Zn(2+);83:Zn(2+);97:Zn(2+);99:Zn(2+);107:Zn(2+);110:Zn(2+);123:Zn(2+);126:Zn(2+),Alternative splicing;Cell membrane;Cytoplasmic vesicle;Endosome;Golgi apparatus;Immunity;Lysosome;Membrane;Metal-binding;Proteomics identification;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Ubl conjugation;Ubl conjugation pathway;Zinc;Zinc-finger,,2
O14975,S27A2_HUMAN,SLC27A2,Long-chain fatty acid transport protein 2,620,Endoplasmic reticulum membrane; Peroxisome membrane; Cell membrane; Microsome;,ENST00000267842.10;ENST00000380902.8,1,222:AMP,Acetylation;Alternative splicing;ATP-binding;Cell membrane;Endoplasmic reticulum;Fatty acid metabolism;Ligase;Lipid metabolism;Lipid transport;Membrane;Microsome;Nucleotide-binding;Peroxisome;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,,3
P51795,CLCN5_HUMAN,CLCN5,H(+)/Cl(-) exchange transporter 5,816,Golgi apparatus membrane; Endosome membrane; Cell membrane;,ENST00000307367.2;ENST00000376088.7;ENST00000376091.8;ENST00000376108.7;ENST00000642885.1,6,238:chloride;525:chloride;628:chloride;666:ATP;687:ATP;794:ATP,3D-structure;Alternative splicing;Antiport;ATP-binding;CBS domain;Cell membrane;Chloride;Disease variant;Endosome;Golgi apparatus;Ion transport;Membrane;Nucleotide-binding;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport;Ubl conjugation,"Hypophosphatemic rickets, X-linked recessive; Dent disease 1; Nephrolithiasis, X-linked recessive, with renal failure; Low molecular weight proteinuria with hypercalciuria and nephrocalcinosis;",10
Q9H172,ABCG4_HUMAN,ABCG4,ATP-binding cassette sub-family G member 4,646,Cell membrane; Cytoplasmic vesicle membrane; Endosome membrane;,ENST00000615496.4;ENST00000619701.5;ENST00000622721.1,1,102:ATP,Alternative splicing;ATP-binding;Cell membrane;Cytoplasmic vesicle;Endosome;Glycoprotein;Lipid transport;Membrane;Nucleotide-binding;Proteomics identification;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport,,6
P61077,UB2D3_HUMAN,UBE2D3,Ubiquitin-conjugating enzyme E2 D3,147,Cell membrane; Endosome membrane;,ENST00000321805.11;ENST00000338145.7;ENST00000343106.9;ENST00000349311.12;ENST00000357194.10;ENST00000394801.8;ENST00000394803.9;ENST00000394804.6;ENST00000453744.7;ENST00000895034.1;ENST00000895035.1;ENST00000895036.1;ENST00000895037.1;ENST00000895039.1;ENST00000895040.1;ENST00000895042.1;ENST00000895043.1;ENST00000895044.1;ENST00000895046.1;ENST00000895048.1;ENST00000895049.1;ENST00000895050.1;ENST00000895051.1;ENST00000895052.1;ENST00000895055.1;ENST00000895056.1;ENST00000895057.1;ENST00000895058.1;ENST00000895059.1;ENST00000895061.1;ENST00000895062.1;ENST00000895063.1;ENST00000917675.1;ENST00000917676.1;ENST00000917678.1;ENST00000917679.1;ENST00000917680.1;ENST00000917681.1;ENST00000917682.1;ENST00000917683.1;ENST00000917686.1;ENST00000917687.1,0,,3D-structure;Alternative splicing;Apoptosis;Cell membrane;Disulfide bond;DNA damage;DNA repair;Endosome;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transferase;Ubl conjugation pathway,,0
Q969X1,LFG3_HUMAN,TMBIM1,Protein lifeguard 3,311,Membrane; Lysosome membrane; Endosome membrane;,ENST00000258412.8;ENST00000396809.6;ENST00000444881.5;ENST00000901788.1;ENST00000901789.1;ENST00000901790.1;ENST00000901791.1;ENST00000901792.1;ENST00000901793.1;ENST00000901797.1;ENST00000901798.1;ENST00000901799.1;ENST00000901800.1;ENST00000901801.1;ENST00000901802.1;ENST00000901803.1;ENST00000901804.1;ENST00000955612.1;ENST00000955613.1;ENST00000955614.1;ENST00000955615.1,0,,Endosome;Lysosome;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,7
Q9UL01,DSE_HUMAN,DSE,Dermatan-sulfate epimerase,958,Endoplasmic reticulum membrane; Golgi apparatus membrane; Cytoplasmic vesicle membrane; Microsome membrane;,ENST00000331677.7;ENST00000452085.7;ENST00000644252.3;ENST00000891542.1;ENST00000891543.1;ENST00000891544.1;ENST00000950996.1;ENST00000950997.1;ENST00000950998.1;ENST00000950999.1;ENST00000951000.1,3,452:Mn(2+);470:Mn(2+);481:Mn(2+),3D-structure;Cytoplasmic vesicle;Disease variant;Ehlers-Danlos syndrome;Endoplasmic reticulum;Glycoprotein;Golgi apparatus;Isomerase;Manganese;Membrane;Metal-binding;Microsome;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix,"Ehlers-Danlos syndrome, musculocontractural type 2;",2
Q8NHG7,SVIP_HUMAN,SVIP,Small VCP/p97-interacting protein,77,Membrane; Smooth endoplasmic reticulum membrane; Golgi apparatus membrane; Cell membrane; Lysosome membrane;,ENST00000354193.5,0,,Cell membrane;Endoplasmic reticulum;Golgi apparatus;Lipoprotein;Lysosome;Membrane;Myristate;Palmitate;Phosphoprotein;Proteomics identification;Reference proteome,,0
P43005,EAA3_HUMAN,SLC1A1,Excitatory amino acid transporter 3,524,"Cell membrane; Apical cell membrane; Synapse, synaptosome; Early endosome membrane; Late endosome membrane; Recycling endosome membrane;",ENST00000262352.8,19,98:Na(+);101:Na(+);102:Na(+);331:L-aspartate;333:L-aspartate;362:Na(+);364:Na(+);366:Na(+);368:Na(+);370:L-aspartate;405:Na(+);406:Na(+);408:Na(+);411:L-aspartate;447:L-aspartate;448:L-aspartate;451:L-aspartate;451:Na(+);455:Na(+),3D-structure;Amino-acid transport;Cell membrane;Chloride;Disease variant;Endosome;Glycoprotein;Membrane;Metal-binding;Phosphoprotein;Potassium;Proteomics identification;Reference proteome;Schizophrenia;Sodium;Symport;Synapse;Synaptosome;Transmembrane;Transmembrane helix;Transport,Dicarboxylic aminoaciduria; Schizophrenia 18;,8
Q96J66,MRP8_HUMAN,ABCC11,ATP-binding cassette sub-family C member 11,1382,Cell membrane; Vacuole membrane; Cytoplasmic vesicle membrane; Apical cell membrane;,ENST00000353782.9;ENST00000356608.7;ENST00000394747.5;ENST00000394748.5,2,544:ATP;1175:ATP,Alternative splicing;ATP-binding;Cell membrane;Cytoplasmic vesicle;Glycoprotein;Lipid transport;Membrane;Nucleotide-binding;Proteomics identification;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport;Vacuole,,12
P41440,S19A1_HUMAN,SLC19A1,Reduced folate transporter,591,Cell membrane; Apical cell membrane; Basolateral cell membrane;,ENST00000311124.9;ENST00000380010.8;ENST00000485649.3;ENST00000650808.1;ENST00000859469.1;ENST00000859470.1;ENST00000859471.1;ENST00000859472.1;ENST00000859473.1;ENST00000859474.1;ENST00000859475.1;ENST00000859477.1;ENST00000859480.1;ENST00000859481.1;ENST00000930844.1;ENST00000930845.1;ENST00000930846.1;ENST00000930848.1;ENST00000930849.1;ENST00000930850.1;ENST00000966362.1;ENST00000966363.1,23,"48:folate;49:folate;123:folate;133:2',3'-cGAMP;133:folate;134:2',3'-cGAMP;137:2',3'-cGAMP;149:2',3'-cGAMP;157:2',3'-cGAMP;164:folate;281:folate;282:2',3'-cGAMP;282:folate;286:folate;321:2',3'-cGAMP;373:folate;377:2',3'-cGAMP;377:folate;381:2',3'-cGAMP;384:2',3'-cGAMP;393:2',3'-cGAMP;396:2',3'-cGAMP;400:2',3'-cGAMP",3D-structure;Acetylation;Alternative splicing;Antiport;Cell membrane;Disease variant;Folate-binding;Glycoprotein;Hereditary hemolytic anemia;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,"Megaloblastic anemia, folate-responsive; Immunodeficiency 114, folate-responsive;",12
Q687X5,STEA4_HUMAN,STEAP4,Metalloreductase STEAP4,459,Cell membrane; Golgi apparatus membrane; Early endosome membrane;,ENST00000301959.9;ENST00000380079.9;ENST00000879105.1;ENST00000969824.1;ENST00000969825.1,17,27:NADP(+);49:NADP(+);67:NADP(+);81:NADP(+);106:NADP(+);139:NADP(+);140:FAD;148:FAD;171:NADP(+);217:Fe(3+);269:FAD;290:FAD;304:heme b;307:Fe(3+);366:FAD;383:FAD;397:heme b,3D-structure;Alternative splicing;Cell membrane;Copper;Electron transport;Endosome;FAD;Flavoprotein;Glycoprotein;Golgi apparatus;Heme;Ion transport;Iron;Iron transport;Membrane;Metal-binding;NADP;Oxidoreductase;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,,6
Q8NBU5,ATAD1_HUMAN,ATAD1,Outer mitochondrial transmembrane helix translocase,361,Mitochondrion outer membrane; Peroxisome membrane; Postsynaptic cell membrane;,ENST00000308448.11;ENST00000328142.3;ENST00000680024.1;ENST00000852089.1;ENST00000852092.1;ENST00000852098.1;ENST00000852100.1;ENST00000852101.1;ENST00000852102.1;ENST00000852103.1;ENST00000940754.1;ENST00000944899.1;ENST00000944906.1;ENST00000944907.1;ENST00000944908.1,1,133:ATP,3D-structure;Alternative splicing;ATP-binding;Cell membrane;Disease variant;Membrane;Mitochondrion;Mitochondrion outer membrane;Nucleotide-binding;Peroxisome;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Reference proteome;Synapse;Translocase;Transmembrane;Transmembrane helix,Hyperekplexia 4;,1
Q9UJY5,GGA1_HUMAN,GGA1,ADP-ribosylation factor-binding protein GGA1,639,"Golgi apparatus, trans-Golgi network membrane; Endosome membrane; Early endosome membrane;",ENST00000325180.12;ENST00000343632.9;ENST00000381756.9;ENST00000406772.5;ENST00000715689.1,0,,3D-structure;Acetylation;Alternative splicing;Endosome;Golgi apparatus;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transport;Ubl conjugation,,0
P47870,GBRB2_HUMAN,GABRB2,Gamma-aminobutyric acid receptor subunit beta-2,512,Postsynaptic cell membrane; Cell membrane; Cytoplasmic vesicle membrane;,ENST00000274547.7;ENST00000353437.10;ENST00000393959.6;ENST00000520240.5;ENST00000675303.1;ENST00000675773.1;ENST00000965237.1,5,121:histamine;180:histamine;181:4-aminobutanoate;226:4-aminobutanoate;226:histamine,3D-structure;Alternative splicing;Cell membrane;Chloride;Chloride channel;Cytoplasmic vesicle;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport,"Epileptic encephalopathy, infantile or early childhood, 2;",4
Q2KHT3,CL16A_HUMAN,CLEC16A,Protein CLEC16A,1053,Endosome membrane; Lysosome membrane;,ENST00000409552.4;ENST00000409790.6,0,,Alternative splicing;Autophagy;Diabetes mellitus;Endosome;Lysosome;Membrane;Proteomics identification;Reference proteome,Type 1 diabetes mellitus;,0
O60635,TSN1_HUMAN,TSPAN1,Tetraspanin-1,241,Cell membrane; Lysosome membrane;,ENST00000372003.6;ENST00000893420.1;ENST00000893421.1;ENST00000893422.1;ENST00000893423.1;ENST00000893424.1;ENST00000893430.1;ENST00000893431.1;ENST00000972185.1;ENST00000972186.1;ENST00000972187.1;ENST00000972188.1;ENST00000972189.1,0,,Cell membrane;Glycoprotein;Lysosome;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,4
P17252,KPCA_HUMAN,PRKCA,Protein kinase C alpha type,672,Cytoplasm; Cell membrane; Mitochondrion membrane; Nucleus;,ENST00000413366.8,17,"186:Ca(2+);187:Ca(2+);187:Ca(2+);193:Ca(2+);195:a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate);245:a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate);246:Ca(2+);246:Ca(2+);247:Ca(2+);248:Ca(2+);248:Ca(2+);248:Ca(2+);252:Ca(2+);254:Ca(2+);254:Ca(2+);345:ATP;368:ATP",3D-structure;Acetylation;Angiogenesis;Apoptosis;ATP-binding;Calcium;Cell adhesion;Cell membrane;Cytoplasm;Direct protein sequencing;Kinase;Membrane;Metal-binding;Mitochondrion;Nucleotide-binding;Nucleus;Phosphoprotein;Proteomics identification;Proto-oncogene;Reference proteome;Repeat;Serine/threonine-protein kinase;Transferase;Zinc;Zinc-finger,,0
Q8N6R1,SERP2_HUMAN,SERP2,Stress-associated endoplasmic reticulum protein 2,65,Membrane; Endoplasmic reticulum membrane;,ENST00000379179.8;ENST00000885982.1,0,,Endoplasmic reticulum;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Unfolded protein response,,1
Q9BSA9,TM175_HUMAN,TMEM175,Endosomal/lysosomal proton channel TMEM175,504,Endosome membrane; Lysosome membrane;,ENST00000264771.9;ENST00000515740.5;ENST00000622959.3;ENST00000949494.1;ENST00000949496.1;ENST00000949497.1,0,,3D-structure;Alternative splicing;Endosome;Hydrogen ion transport;Ion channel;Ion transport;Lysosome;Membrane;Neurodegeneration;Parkinson disease;Parkinsonism;Phosphoprotein;Potassium;Potassium channel;Potassium transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,Parkinson disease;,12
P13164,IFM1_HUMAN,IFITM1,Interferon-induced transmembrane protein 1,125,Cell membrane; Lysosome membrane;,ENST00000328221.5;ENST00000408968.4;ENST00000528780.5;ENST00000680588.1;ENST00000926401.1,0,,Antiviral defense;Cell membrane;Immunity;Innate immunity;Lipoprotein;Lysosome;Membrane;Osteogenesis;Palmitate;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,1
Q9NT99,LRC4B_HUMAN,LRRC4B,Leucine-rich repeat-containing protein 4B,713,Membrane; Presynaptic cell membrane;,ENST00000389201.7;ENST00000599957.5;ENST00000652263.1;ENST00000903737.1;ENST00000903738.1;ENST00000903739.1;ENST00000940244.1;ENST00000940245.1,0,,Cell membrane;Cell projection;Disulfide bond;Glycoprotein;Immunoglobulin domain;Leucine-rich repeat;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Signal;Synapse;Transmembrane;Transmembrane helix,,1
Q9BSW7,SYT17_HUMAN,SYT17,Synaptotagmin-17,474,Membrane;,ENST00000355377.7,0,,3D-structure;Differentiation;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat,,0
O43174,CP26A_HUMAN,CYP26A1,Cytochrome P450 26A1,497,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000224356.5;ENST00000371531.5,1,442:heme,Alternative splicing;Endoplasmic reticulum;Heme;Iron;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome,,0
P33260,CP2CI_HUMAN,CYP2C18,Cytochrome P450 2C18,490,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000285979.11;ENST00000339022.6,1,435:heme,3D-structure;Alternative splicing;Endoplasmic reticulum;Heme;Iron;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome;Signal,,0
P51589,CP2J2_HUMAN,CYP2J2,Cytochrome P450 2J2,502,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000371204.4,1,448:heme,Direct protein sequencing;Endoplasmic reticulum;Fatty acid metabolism;Heme;Iron;Isomerase;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome,,0
Q14534,ERG1_HUMAN,SQLE,Squalene monooxygenase,574,Microsome membrane; Endoplasmic reticulum membrane;,ENST00000265896.10,8,133:FAD;153:FAD;161:FAD;166:FAD;234:FAD;250:FAD;408:FAD;421:FAD,3D-structure;Endoplasmic reticulum;FAD;Flavoprotein;Lipid metabolism;Membrane;Microsome;Oxidoreductase;Proteomics identification;Reference proteome;Ubl conjugation,,0
Q9NR63,CP26B_HUMAN,CYP26B1,Cytochrome P450 26B1,512,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000001146.7;ENST00000546307.5,1,441:heme,Alternative splicing;Craniosynostosis;Disease variant;Endoplasmic reticulum;Heme;Iron;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome,Radiohumeral fusions with other skeletal and craniofacial anomalies;,0
Q5TA50,CPTP_HUMAN,CPTP,Ceramide-1-phosphate transfer protein,214,"Cytoplasm, cytosol; Golgi apparatus, trans-Golgi network membrane; Cell membrane; Endosome membrane; Nucleus outer membrane;",ENST00000343938.9;ENST00000900278.1;ENST00000900279.1;ENST00000900280.1;ENST00000900281.1;ENST00000900282.1;ENST00000900283.1;ENST00000956293.1,5,56:an N-acylsphingoid base 1-phosphate;60:an N-acylsphingoid base 1-phosphate;106:an N-acylsphingoid base 1-phosphate;110:an N-acylsphingoid base 1-phosphate;150:an N-acylsphingoid base 1-phosphate,3D-structure;Cell membrane;Cytoplasm;Endosome;Golgi apparatus;Lipid transport;Lipid-binding;Membrane;Nucleus;Proteomics identification;Reference proteome;Transport,,0
Q9NQ11,AT132_HUMAN,ATP13A2,Polyamine-transporting ATPase 13A2,1180,"Lysosome membrane; Late endosome membrane; Endosome, multivesicular body membrane; Cytoplasmic vesicle, autophagosome membrane;",ENST00000326735.13;ENST00000341676.9;ENST00000452699.5,2,878:Mg(2+);882:Mg(2+),3D-structure;Alternative splicing;ATP-binding;Cytoplasmic vesicle;Disease variant;Endosome;Glycoprotein;Hereditary spastic paraplegia;Lipid-binding;Lysosome;Magnesium;Membrane;Metal-binding;Neurodegeneration;Neuronal ceroid lipofuscinosis;Nucleotide-binding;Parkinsonism;Phosphoprotein;Proteomics identification;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport,"Kufor-Rakeb syndrome; Spastic paraplegia 78, autosomal recessive;",10
Q9BVK8,TM147_HUMAN,TMEM147,BOS complex subunit TMEM147,224,Endoplasmic reticulum membrane; Nucleus membrane; Cell membrane;,ENST00000222284.10;ENST00000392204.6,0,,3D-structure;Alternative splicing;Cell membrane;Disease variant;Endoplasmic reticulum;Intellectual disability;Membrane;Nucleus;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,"Neurodevelopmental disorder with facial dysmorphism, absent language, and pseudo-Pelger-Huet anomaly;",7
P50876,R144A_HUMAN,RNF144A,E3 ubiquitin-protein ligase RNF144A,292,Cell membrane; Cytoplasmic vesicle membrane; Endosome membrane; Endoplasmic reticulum membrane;,ENST00000320892.11;ENST00000902586.1;ENST00000902587.1;ENST00000902588.1;ENST00000902589.1;ENST00000902590.1;ENST00000902591.1;ENST00000942528.1;ENST00000942529.1,20,20:Zn(2+);23:Zn(2+);43:Zn(2+);46:Zn(2+);111:Zn(2+);116:Zn(2+);135:Zn(2+);138:Zn(2+);143:Zn(2+);146:Zn(2+);151:Zn(2+);156:Zn(2+);185:Zn(2+);188:Zn(2+);203:Zn(2+);206:Zn(2+);211:Zn(2+);214:Zn(2+);226:Zn(2+);232:Zn(2+),3D-structure;Cell membrane;Cytoplasmic vesicle;Endoplasmic reticulum;Endosome;Membrane;Metal-binding;Proteomics identification;Reference proteome;Repeat;Transferase;Transmembrane;Transmembrane helix;Ubl conjugation;Ubl conjugation pathway;Zinc;Zinc-finger,,1
O00337,S28A1_HUMAN,SLC28A1,Sodium/nucleoside cotransporter 1,649,Cell membrane; Apical cell membrane;,ENST00000286749.3;ENST00000338602.6;ENST00000394573.6;ENST00000859184.1;ENST00000859185.1;ENST00000859188.1;ENST00000859189.1;ENST00000859196.1;ENST00000859197.1;ENST00000859198.1;ENST00000859199.1,0,,Alternative splicing;Cell membrane;Disease variant;Glycoprotein;Membrane;Proteomics identification;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport,Uridine-cytidineuria;,13
O15399,NMDE4_HUMAN,GRIN2D,"Glutamate receptor ionotropic, NMDA 2D",1336,Cell membrane; Postsynaptic cell membrane;,ENST00000263269.4;ENST00000911262.1,6,539:L-glutamate;541:L-glutamate;546:L-glutamate;717:L-glutamate;718:L-glutamate;759:L-glutamate,3D-structure;Calcium;Cell membrane;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Magnesium;Membrane;Methylation;Phosphoprotein;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport,Developmental and epileptic encephalopathy 46;,3
P07510,ACHG_HUMAN,CHRNG,Acetylcholine receptor subunit gamma,517,Postsynaptic cell membrane; Cell membrane;,ENST00000389492.3;ENST00000651502.1,0,,Alternative splicing;Cell membrane;Disease variant;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport,"Multiple pterygium syndrome, lethal type; Multiple pterygium syndrome, Escobar variant;",4
