uniprot_id,gene,protein_name,length,n_transmem,stratum,mean_plddt,frac_plddt70,n_surface_nuc,pocket_id,pocket_volume,n_tyr_8A,n_cys_8A,n_ser_8A,n_thr_8A,n_lys_8A,n_tyr_10A,n_cys_10A,n_ser_10A,n_thr_10A,n_lys_10A,best_nucleophile_type,best_nuc_dist,best_nuc_sasa,best_nuc_plddt,cancer_expression,cancer_high,cancer_specificity,cancer_distribution,max_frac_high,n_prognostic_significant,uniprot_cancer_annotation
O15244,SLC22A2,Solute carrier family 22 member 2,555,12,S4_multiTM,83.03,0.8775,88.0,1,5234.6,0,0,0,1,0,0,0,0,1,0,THR,5.9,70.4,79.75,124.4,True,Group enriched,Detected in some,0.5555555555555556,4.0,False
O15244,SLC22A2,Solute carrier family 22 member 2,555,12,S4_multiTM,83.03,0.8775,88.0,2,1947.4,0,0,1,1,0,0,0,1,2,0,SER,5.85,50.59,53.31,124.4,True,Group enriched,Detected in some,0.5555555555555556,4.0,False
O15403,SLC16A6,Monocarboxylate transporter 7,523,12,S4_multiTM,76.42,0.7266,84.0,1,7151.6,0,0,1,0,0,1,0,1,1,0,TYR,9.12,64.86,64.44,21.9,True,Group enriched,Detected in many,0.1,28.0,False
O15403,SLC16A6,Monocarboxylate transporter 7,523,12,S4_multiTM,76.42,0.7266,84.0,2,280.1,1,0,0,2,1,1,0,2,2,1,TYR,3.98,51.63,91.94,21.9,True,Group enriched,Detected in many,0.1,28.0,False
O15403,SLC16A6,Monocarboxylate transporter 7,523,12,S4_multiTM,76.42,0.7266,84.0,3,280.1,1,0,0,0,1,1,0,0,0,1,TYR,2.82,149.69,68.44,21.9,True,Group enriched,Detected in many,0.1,28.0,False
O15554,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,427,6,S4_multiTM,84.19,0.8618,72.0,1,4826.2,1,0,0,0,0,1,0,0,0,0,TYR,4.04,65.56,90.25,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
O15554,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,427,6,S4_multiTM,84.19,0.8618,72.0,2,826.9,0,0,1,0,1,0,0,1,0,2,LYS,4.62,162.89,87.44,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
O15554,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,427,6,S4_multiTM,84.19,0.8618,72.0,3,793.1,0,1,0,0,0,0,2,0,0,0,CYS,4.87,54.28,50.69,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
O42043,ERVK-18,Endogenous retrovirus group K member 18 Env polyprotein,560,1,S3_singleTM,73.12,0.6286,120.0,1,5879.2,0,2,0,2,0,0,2,1,3,0,THR,2.37,20.4,84.38,,False,,,,,False
O42043,ERVK-18,Endogenous retrovirus group K member 18 Env polyprotein,560,1,S3_singleTM,73.12,0.6286,120.0,2,1022.6,1,0,1,0,0,1,0,3,0,0,TYR,6.2,49.23,74.12,,False,,,,,False
O42043,ERVK-18,Endogenous retrovirus group K member 18 Env polyprotein,560,1,S3_singleTM,73.12,0.6286,120.0,3,617.6,0,0,2,0,0,0,0,2,0,0,SER,7.1,69.44,87.62,,False,,,,,False
O43463,SUV39H1,Histone-lysine N-methyltransferase SUV39H1,412,0,S5_peripheral,88.49,0.8981,84.0,1,3186.0,1,0,1,0,0,1,0,1,0,0,TYR,7.03,45.44,89.0,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
O43463,SUV39H1,Histone-lysine N-methyltransferase SUV39H1,412,0,S5_peripheral,88.49,0.8981,84.0,2,1117.1,0,1,0,0,0,0,1,0,0,1,CYS,7.18,28.94,92.5,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
O43463,SUV39H1,Histone-lysine N-methyltransferase SUV39H1,412,0,S5_peripheral,88.49,0.8981,84.0,3,556.9,1,0,0,1,0,3,0,0,1,0,TYR,3.76,59.05,88.44,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
O43570,CA12,Carbonic anhydrase 12,354,1,S3_singleTM,87.8,0.8192,70.0,1,1069.9,1,0,2,0,0,1,0,4,2,1,TYR,6.19,50.2,97.19,881.0,True,Cancer enriched,Detected in all,0.09090909090909091,31.0,False
O43570,CA12,Carbonic anhydrase 12,354,1,S3_singleTM,87.8,0.8192,70.0,2,516.4,1,0,0,0,0,1,0,0,0,1,TYR,7.6,33.16,97.06,881.0,True,Cancer enriched,Detected in all,0.09090909090909091,31.0,False
O60637,TSPAN3,Tetraspanin-3,253,4,S4_multiTM,87.04,0.8775,55.0,1,3624.8,0,0,0,0,0,1,0,0,0,1,TYR,9.21,159.88,63.25,0.0,True,Low cancer specificity,Detected in all,0.5,31.0,False
O60637,TSPAN3,Tetraspanin-3,253,4,S4_multiTM,87.04,0.8775,55.0,2,212.6,1,0,1,2,0,2,0,1,4,3,TYR,3.84,15.93,86.56,0.0,True,Low cancer specificity,Detected in all,0.5,31.0,False
O60831,PRAF2,PRA1 family protein 2,178,4,S4_multiTM,83.74,0.8146,20.0,1,411.8,0,1,0,0,0,0,1,0,0,0,CYS,7.76,11.21,92.12,0.0,False,Low cancer specificity,Detected in all,0.1,31.0,False
O60831,PRAF2,PRA1 family protein 2,178,4,S4_multiTM,83.74,0.8146,20.0,2,202.5,0,0,1,0,0,0,0,2,0,2,SER,7.18,46.35,53.81,0.0,False,Low cancer specificity,Detected in all,0.1,31.0,False
O75030,MITF,Microphthalmia-associated transcription factor,526,0,S2_cancer_nonTM,60.78,0.327,129.0,1,7634.2,0,0,0,0,0,0,1,1,0,0,CYS,8.03,107.7,39.47,98.6,True,Cancer enhanced,Detected in all,0.5555555555555556,31.0,True
O75030,MITF,Microphthalmia-associated transcription factor,526,0,S2_cancer_nonTM,60.78,0.327,129.0,2,374.6,0,0,3,0,0,0,0,3,0,0,SER,4.06,106.19,47.25,98.6,True,Cancer enhanced,Detected in all,0.5555555555555556,31.0,True
O75030,MITF,Microphthalmia-associated transcription factor,526,0,S2_cancer_nonTM,60.78,0.327,129.0,3,317.2,0,0,1,0,0,0,0,1,0,0,SER,4.29,87.81,33.56,98.6,True,Cancer enhanced,Detected in all,0.5555555555555556,31.0,True
O75038,PLCH2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",1416,0,S5_peripheral,61.99,0.4788,270.0,1,2237.6,0,0,0,0,2,0,0,0,0,2,LYS,4.87,207.93,31.52,14.8,True,Cancer enhanced,Detected in many,0.0,22.0,False
O75038,PLCH2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",1416,0,S5_peripheral,61.99,0.4788,270.0,2,1714.5,0,0,0,0,0,0,0,0,0,0,,,,,14.8,True,Cancer enhanced,Detected in many,0.0,22.0,False
O75038,PLCH2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",1416,0,S5_peripheral,61.99,0.4788,270.0,3,961.9,0,0,0,0,0,0,0,0,0,0,,,,,14.8,True,Cancer enhanced,Detected in many,0.0,22.0,False
O75477,ERLIN1,Erlin-1,348,1,S3_singleTM,85.19,0.842,85.0,1,1019.2,0,0,0,0,1,1,1,2,0,1,TYR,8.54,156.4,62.78,0.0,True,Low cancer specificity,Detected in all,0.6666666666666666,31.0,False
O75747,PIK3C2G,Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma,1486,0,S5_peripheral,73.6,0.7127,325.0,1,1113.8,0,0,0,0,0,0,0,0,0,0,,,,,5.0,False,Cancer enhanced,Detected in some,0.0,11.0,False
O75747,PIK3C2G,Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma,1486,0,S5_peripheral,73.6,0.7127,325.0,2,509.6,0,0,0,1,1,0,0,2,1,1,LYS,4.48,126.09,83.69,5.0,False,Cancer enhanced,Detected in some,0.0,11.0,False
O75747,PIK3C2G,Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma,1486,0,S5_peripheral,73.6,0.7127,325.0,3,280.1,1,1,0,0,1,1,1,1,0,2,TYR,4.87,32.47,87.0,5.0,False,Cancer enhanced,Detected in some,0.0,11.0,False
O75964,ATP5MG,"ATP synthase F(0) complex subunit g, mitochondrial",103,0,S5_peripheral,90.95,0.9903,24.0,1,1366.9,0,0,0,0,0,1,0,0,0,0,TYR,9.76,114.96,93.44,0.0,True,Low cancer specificity,Detected in all,0.6666666666666666,29.0,False
O76082,SLC22A5,Organic cation/carnitine transporter 2,557,12,S4_multiTM,86.52,0.9102,76.0,1,4195.1,0,0,0,1,0,0,0,1,2,0,THR,7.04,22.63,89.31,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
O76082,SLC22A5,Organic cation/carnitine transporter 2,557,12,S4_multiTM,86.52,0.9102,76.0,2,1944.0,0,0,1,1,0,0,2,2,1,0,THR,5.27,84.27,91.25,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
O76082,SLC22A5,Organic cation/carnitine transporter 2,557,12,S4_multiTM,86.52,0.9102,76.0,3,448.9,0,0,0,0,0,0,0,0,2,1,THR,8.83,64.25,85.0,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
O94850,DDN,Dendrin,711,0,S5_peripheral,45.79,0.0942,138.0,1,1147.5,0,0,0,0,0,0,0,0,1,0,THR,9.5,136.89,34.19,3.7,False,Cancer enhanced,Detected in some,0.0,7.0,False
O94850,DDN,Dendrin,711,0,S5_peripheral,45.79,0.0942,138.0,2,705.4,0,1,1,0,0,0,1,1,0,0,SER,3.34,97.94,30.88,3.7,False,Cancer enhanced,Detected in some,0.0,7.0,False
O94850,DDN,Dendrin,711,0,S5_peripheral,45.79,0.0942,138.0,3,685.1,0,0,0,0,0,0,0,0,0,0,,,,,3.7,False,Cancer enhanced,Detected in some,0.0,7.0,False
O94898,LRIG2,Leucine-rich repeats and immunoglobulin-like domains protein 2,1065,1,S3_singleTM,74.48,0.6939,215.0,1,1431.0,0,0,0,0,0,0,0,1,0,0,SER,9.18,98.44,26.95,0.0,False,Low cancer specificity,Detected in many,0.0,30.0,False
O94898,LRIG2,Leucine-rich repeats and immunoglobulin-like domains protein 2,1065,1,S3_singleTM,74.48,0.6939,215.0,2,1231.9,0,0,1,0,0,0,0,1,0,1,SER,5.72,99.04,29.81,0.0,False,Low cancer specificity,Detected in many,0.0,30.0,False
O94898,LRIG2,Leucine-rich repeats and immunoglobulin-like domains protein 2,1065,1,S3_singleTM,74.48,0.6939,215.0,3,388.1,0,0,1,0,0,0,0,2,1,0,SER,7.92,39.31,93.62,0.0,False,Low cancer specificity,Detected in many,0.0,30.0,False
O95206,PCDH8,Protocadherin-8,1070,1,S3_singleTM,69.68,0.6037,177.0,1,4434.8,0,0,0,0,0,0,0,0,0,0,,,,,3.0,True,Cancer enhanced,Detected in single,0.75,2.0,False
O95206,PCDH8,Protocadherin-8,1070,1,S3_singleTM,69.68,0.6037,177.0,2,702.0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,True,Cancer enhanced,Detected in single,0.75,2.0,False
O95206,PCDH8,Protocadherin-8,1070,1,S3_singleTM,69.68,0.6037,177.0,3,648.0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,True,Cancer enhanced,Detected in single,0.75,2.0,False
O95487,SEC24B,Protein transport protein Sec24B,1268,0,S5_peripheral,71.43,0.5844,291.0,1,3267.0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in all,0.18181818181818182,31.0,False
O95487,SEC24B,Protein transport protein Sec24B,1268,0,S5_peripheral,71.43,0.5844,291.0,2,1083.4,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in all,0.18181818181818182,31.0,False
O95487,SEC24B,Protein transport protein Sec24B,1268,0,S5_peripheral,71.43,0.5844,291.0,3,756.0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in all,0.18181818181818182,31.0,False
O95672,ECEL1,Endothelin-converting enzyme-like 1,775,1,S3_singleTM,87.78,0.8826,95.0,1,2619.0,1,0,1,0,0,1,0,1,1,1,TYR,6.38,54.54,27.22,31.4,True,Cancer enriched,Detected in many,0.0,23.0,False
O95672,ECEL1,Endothelin-converting enzyme-like 1,775,1,S3_singleTM,87.78,0.8826,95.0,2,1073.2,0,0,0,0,0,1,0,1,0,0,TYR,8.72,27.54,95.38,31.4,True,Cancer enriched,Detected in many,0.0,23.0,False
O95672,ECEL1,Endothelin-converting enzyme-like 1,775,1,S3_singleTM,87.78,0.8826,95.0,3,523.1,1,0,0,1,0,2,0,1,1,0,TYR,4.46,22.03,96.94,31.4,True,Cancer enriched,Detected in many,0.0,23.0,False
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,971,0,S2_cancer_nonTM,81.08,0.8332,220.0,1,1650.4,0,0,1,0,0,0,0,1,0,0,SER,6.79,95.93,29.06,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,971,0,S2_cancer_nonTM,81.08,0.8332,220.0,2,772.9,0,0,1,0,0,0,0,3,0,1,SER,6.56,34.09,77.69,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,971,0,S2_cancer_nonTM,81.08,0.8332,220.0,3,509.6,0,1,1,1,1,0,2,1,2,1,LYS,4.84,101.14,92.44,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
P00395,MT-CO1,Cytochrome c oxidase subunit 1,513,12,S1_cancer_TM,95.77,0.9903,71.0,1,1370.2,0,0,1,1,0,0,0,2,1,0,SER,5.32,21.37,76.12,0.0,True,Low cancer specificity,Detected in all,0.75,29.0,True
P00395,MT-CO1,Cytochrome c oxidase subunit 1,513,12,S1_cancer_TM,95.77,0.9903,71.0,2,533.2,0,0,2,0,2,2,0,2,1,3,TYR,8.07,33.57,95.62,0.0,True,Low cancer specificity,Detected in all,0.75,29.0,True
P00395,MT-CO1,Cytochrome c oxidase subunit 1,513,12,S1_cancer_TM,95.77,0.9903,71.0,3,300.4,2,0,1,0,1,2,0,1,1,1,TYR,4.79,41.14,92.81,0.0,True,Low cancer specificity,Detected in all,0.75,29.0,True
P00533,EGFR,Epidermal growth factor receptor,1210,1,S1_cancer_TM,75.95,0.7066,263.0,1,408.4,0,1,1,0,0,0,1,1,0,0,SER,3.19,35.79,94.19,324.2,True,Cancer enriched,Detected in all,0.5,31.0,True
P00533,EGFR,Epidermal growth factor receptor,1210,1,S1_cancer_TM,75.95,0.7066,263.0,2,317.2,2,2,0,2,2,2,3,0,2,2,TYR,5.01,63.9,96.81,324.2,True,Cancer enriched,Detected in all,0.5,31.0,True
P00533,EGFR,Epidermal growth factor receptor,1210,1,S1_cancer_TM,75.95,0.7066,263.0,3,212.6,0,1,1,0,1,0,1,1,2,1,LYS,1.17,48.65,93.56,324.2,True,Cancer enriched,Detected in all,0.5,31.0,True
P01112,HRAS,GTPase HRas,189,0,S2_cancer_nonTM,91.95,0.9206,40.0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in all,0.2222222222222222,31.0,True
P01737,TRAV8-4,T cell receptor alpha variable 8-4,113,0,S5_peripheral,90.62,0.8407,30.0,1,270.0,1,0,2,0,0,3,0,2,0,0,TYR,4.55,28.45,97.94,0.0,False,Low cancer specificity,Detected in many,0.0,12.0,False
P01833,PIGR,Polymeric immunoglobulin receptor,764,1,S3_singleTM,76.69,0.7199,158.0,1,506.2,0,0,0,0,0,0,0,0,1,0,THR,8.33,119.33,34.34,881.6,True,Cancer enhanced,Detected in many,0.9166666666666666,28.0,False
P01833,PIGR,Polymeric immunoglobulin receptor,764,1,S3_singleTM,76.69,0.7199,158.0,2,388.1,0,0,0,1,1,0,0,0,1,1,THR,4.49,74.26,93.0,881.6,True,Cancer enhanced,Detected in many,0.9166666666666666,28.0,False
P01833,PIGR,Polymeric immunoglobulin receptor,764,1,S3_singleTM,76.69,0.7199,158.0,3,374.6,0,0,2,0,1,0,0,2,1,1,SER,6.44,27.5,86.25,881.6,True,Cancer enhanced,Detected in many,0.9166666666666666,28.0,False
P01857,IGHG1,Immunoglobulin heavy constant gamma 1,399,1,S1_cancer_TM,86.7,0.8221,116.0,1,1319.6,0,2,1,0,1,0,3,3,0,1,SER,5.7,77.77,67.94,0.0,False,Low cancer specificity,Detected in all,0.4166666666666667,29.0,True
P01857,IGHG1,Immunoglobulin heavy constant gamma 1,399,1,S1_cancer_TM,86.7,0.8221,116.0,2,445.5,0,0,0,0,2,1,0,1,2,2,TYR,8.97,54.67,98.19,0.0,False,Low cancer specificity,Detected in all,0.4166666666666667,29.0,True
P01857,IGHG1,Immunoglobulin heavy constant gamma 1,399,1,S1_cancer_TM,86.7,0.8221,116.0,3,357.8,0,0,0,0,1,0,1,1,0,1,LYS,5.89,88.03,97.5,0.0,False,Low cancer specificity,Detected in all,0.4166666666666667,29.0,True
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,1255,1,S1_cancer_TM,73.98,0.6685,218.0,1,830.2,0,0,1,0,0,0,0,1,1,0,SER,7.73,101.66,44.12,0.0,False,Low cancer specificity,Detected in all,0.36363636363636365,31.0,True
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,1255,1,S1_cancer_TM,73.98,0.6685,218.0,2,688.5,0,0,0,0,0,0,0,1,0,0,SER,8.48,48.82,93.38,0.0,False,Low cancer specificity,Detected in all,0.36363636363636365,31.0,True
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,1255,1,S1_cancer_TM,73.98,0.6685,218.0,3,644.6,0,0,0,0,0,0,0,0,1,0,THR,8.07,22.06,95.44,0.0,False,Low cancer specificity,Detected in all,0.36363636363636365,31.0,True
P04920,SLC4A2,Anion exchange protein 2,1241,10,S4_multiTM,65.83,0.5657,175.0,1,1572.8,0,0,0,0,1,0,0,0,0,1,LYS,7.78,207.17,25.17,0.0,True,Low cancer specificity,Detected in all,0.5833333333333334,31.0,False
P04920,SLC4A2,Anion exchange protein 2,1241,10,S4_multiTM,65.83,0.5657,175.0,2,560.2,0,0,0,0,0,0,0,0,0,0,,,,,0.0,True,Low cancer specificity,Detected in all,0.5833333333333334,31.0,False
P04920,SLC4A2,Anion exchange protein 2,1241,10,S4_multiTM,65.83,0.5657,175.0,3,499.5,0,0,0,0,0,0,0,0,0,0,,,,,0.0,True,Low cancer specificity,Detected in all,0.5833333333333334,31.0,False
P06241,FYN,Tyrosine-protein kinase Fyn,537,0,S2_cancer_nonTM,80.84,0.797,116.0,1,10141.9,1,0,0,0,2,1,0,0,1,2,TYR,7.98,29.97,97.12,182.7,True,Cancer enhanced,Detected in all,0.3333333333333333,31.0,True
P06241,FYN,Tyrosine-protein kinase Fyn,537,0,S2_cancer_nonTM,80.84,0.797,116.0,2,1839.4,0,0,0,0,2,0,0,0,0,3,LYS,6.55,79.74,94.31,182.7,True,Cancer enhanced,Detected in all,0.3333333333333333,31.0,True
P06241,FYN,Tyrosine-protein kinase Fyn,537,0,S2_cancer_nonTM,80.84,0.797,116.0,3,276.8,0,2,0,0,1,0,2,0,0,1,CYS,2.74,123.52,30.48,182.7,True,Cancer enhanced,Detected in all,0.3333333333333333,31.0,True
P07332,FES,Tyrosine-protein kinase Fes/Fps,822,0,S2_cancer_nonTM,89.37,0.91,142.0,1,14978.2,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in all,0.16666666666666666,31.0,True
P07332,FES,Tyrosine-protein kinase Fes/Fps,822,0,S2_cancer_nonTM,89.37,0.91,142.0,2,10047.4,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in all,0.16666666666666666,31.0,True
P07332,FES,Tyrosine-protein kinase Fes/Fps,822,0,S2_cancer_nonTM,89.37,0.91,142.0,3,475.9,0,0,1,1,0,0,0,1,1,1,THR,7.07,77.99,97.38,0.0,False,Low cancer specificity,Detected in all,0.16666666666666666,31.0,True
P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,1114,1,S1_cancer_TM,78.79,0.772,221.0,1,1279.1,0,0,0,0,0,0,0,1,0,0,SER,9.77,66.69,89.06,20.0,True,Cancer enhanced,Detected in many,0.75,18.0,True
P08247,SYP,Synaptophysin,313,4,S4_multiTM,76.73,0.6965,55.0,1,2035.1,1,0,0,0,0,2,0,0,0,1,TYR,3.11,222.31,39.5,45.8,True,Group enriched,Detected in many,0.0,30.0,False
P08247,SYP,Synaptophysin,313,4,S4_multiTM,76.73,0.6965,55.0,2,465.8,0,0,0,0,0,1,0,0,0,0,TYR,8.85,233.41,44.19,45.8,True,Group enriched,Detected in many,0.0,30.0,False
P08247,SYP,Synaptophysin,313,4,S4_multiTM,76.73,0.6965,55.0,3,347.6,1,0,0,1,0,2,0,0,1,1,TYR,4.1,51.78,97.12,45.8,True,Group enriched,Detected in many,0.0,30.0,False
P09038,FGF2,Fibroblast growth factor 2,288,0,S5_peripheral,70.27,0.4479,51.0,1,1609.9,0,0,1,0,0,0,0,1,0,0,SER,4.74,74.75,44.28,0.0,False,Low cancer specificity,Detected in many,0.25,27.0,False
